고객ID,평균순수익,평균수량,Accessories,Android,Apparel,Bags,Bottles,Drinkware,Gift Cards,Headgear,Housewares,Lifestyle,Nest,Nest-Canada,Nest-USA,Notebooks & Journals,Office,Waze,Clicked,Not Used,Used,성별,가입기간,총거래량,마지막거래주,일회성구매고객,거주지역,클러스터
USER_0015,68.22426923076922,2.576923076923077,0.0746268656716417,0.0,0.3432835820895522,0.0,0.0,0.1940298507462686,0.0,0.0,0.0,0.0,0.0298507462686567,0.0149253731343283,0.1194029850746268,0.0,0.2238805970149253,0.0,0.8208955223880597,0.0298507462686567,0.1492537313432835,남,8,26,50,1,California,3
USER_0016,86.17945153846154,9.961538461538462,0.0,0.0,0.1042471042471042,0.193050193050193,0.0,0.0,0.0,0.0038610038610038,0.0,0.0,0.0,0.0,0.0424710424710424,0.0,0.6563706563706564,0.0,0.915057915057915,0.0038610038610038,0.081081081081081,여,15,26,33,0,New Jersey,3
USER_0017,70.65407142857143,1.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.7142857142857143,0.1428571428571428,0.1428571428571428,남,43,7,49,1,New York,3
USER_0018,43.32084404255319,3.595744680851064,0.0,0.0,0.1538461538461538,0.0118343195266272,0.0,0.0059171597633136,0.0,0.0177514792899408,0.0,0.4852071005917159,0.0,0.0,0.0946745562130177,0.2189349112426035,0.0118343195266272,0.0,0.757396449704142,0.1242603550295858,0.1183431952662721,남,29,47,32,0,Chicago,3
USER_0019,37.44506533333333,5.233333333333333,0.0,0.0,0.0382165605095541,0.2993630573248407,0.0,0.3630573248407643,0.0,0.0,0.0,0.0254777070063694,0.0063694267515923,0.0,0.0382165605095541,0.0,0.2292993630573248,0.0,0.3057324840764331,0.0764331210191082,0.6178343949044586,여,37,30,41,0,California,1
USER_0020,146.96642,1.5454545454545454,0.0,0.0,0.1176470588235294,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.2352941176470588,0.0,0.5294117647058824,0.0,0.0588235294117647,0.0,0.1176470588235294,0.1176470588235294,0.7647058823529411,여,38,11,41,1,California,1
USER_0021,51.12424923076923,7.769230769230769,0.0,0.0,0.0396039603960396,0.0,0.0,0.0198019801980198,0.0,0.0,0.0,0.0396039603960396,0.0,0.0,0.0693069306930693,0.0,0.8316831683168316,0.0,0.099009900990099,0.801980198019802,0.099009900990099,남,50,13,37,1,Chicago,0
USER_0022,28.87389625,1.0625,0.0,0.0,0.5294117647058824,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.2352941176470588,0.0,0.1176470588235294,0.0,0.2352941176470588,0.2941176470588235,0.4705882352941176,남,9,16,27,1,New York,1
USER_0023,77.60230153846155,13.076923076923077,0.0,0.0,0.0176470588235294,0.1176470588235294,0.0,0.2352941176470588,0.0,0.0,0.0,0.2352941176470588,0.0,0.0,0.0411764705882352,0.0,0.3529411764705882,0.0,0.6176470588235294,0.0117647058823529,0.3705882352941176,여,37,13,28,0,New York,0
USER_0024,76.373346,6.65,0.0,0.0,0.0977443609022556,0.0150375939849624,0.0,0.0,0.0,0.037593984962406,0.0,0.0,0.0,0.0,0.0977443609022556,0.0,0.7518796992481203,0.0,0.1729323308270676,0.7593984962406015,0.0676691729323308,여,43,20,14,1,New Jersey,0
USER_0025,102.40122545454548,1.2954545454545454,0.0,0.0,0.2280701754385964,0.0175438596491228,0.0,0.0175438596491228,0.0,0.0175438596491228,0.0,0.0,0.0526315789473684,0.0,0.6491228070175439,0.0175438596491228,0.0,0.0,0.5263157894736842,0.175438596491228,0.2982456140350877,여,14,44,46,0,New Jersey,0
USER_0026,58.142803862068966,10.241379310344827,0.0,0.0,0.0424242424242424,0.0208754208754208,0.0087542087542087,0.0518518518518518,0.0,0.0026936026936026,0.0,0.0868686868686868,0.0,0.0,0.0329966329966329,0.068013468013468,0.6855218855218855,0.0,0.6404040404040404,0.1205387205387205,0.239057239057239,남,32,145,14,0,California,0
USER_0027,2.8848,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.6,여,32,3,20,1,Chicago,1
USER_0028,118.21281777777776,1.4444444444444444,0.0,0.0,0.3846153846153846,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.2692307692307692,0.0,0.2692307692307692,0.0,0.0,0.0384615384615384,0.6538461538461539,0.1923076923076923,0.1538461538461538,여,50,18,49,0,New Jersey,3
USER_0029,109.23866545454548,1.4545454545454546,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.25,0.125,0.625,여,39,11,12,1,Chicago,1
USER_0030,66.66451445544554,7.910891089108911,0.0,0.0,0.0663329161451814,0.0025031289111389,0.0,0.078848560700876,0.0,0.0012515644555694,0.0,0.3304130162703379,0.0037546933667083,0.0,0.065081351689612,0.0250312891113892,0.425531914893617,0.0012515644555694,0.5444305381727159,0.0262828535669586,0.4292866082603254,남,49,101,37,1,Washington DC,0
USER_0031,138.87546666666665,1.6666666666666667,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.6,남,26,6,50,1,New York,1
USER_0032,94.84494666666669,2.1666666666666665,0.0769230769230769,0.0,0.0,0.0,0.0,0.3461538461538461,0.0,0.0,0.0,0.0,0.1153846153846153,0.0384615384615384,0.3461538461538461,0.0,0.0769230769230769,0.0,0.5,0.0769230769230769,0.4230769230769231,여,9,12,45,1,California,0
USER_0033,85.53300354330709,2.188976377952756,0.0035971223021582,0.0,0.1438848920863309,0.0179856115107913,0.0,0.1330935251798561,0.0,0.0215827338129496,0.0,0.0755395683453237,0.0647482014388489,0.0035971223021582,0.3453237410071942,0.0,0.1906474820143885,0.0,0.5503597122302158,0.1798561151079136,0.2697841726618705,여,11,127,50,0,California,0
USER_0034,63.580364,4.056,0.0019723865877712,0.0,0.0710059171597633,0.1735700197238658,0.0216962524654832,0.0374753451676528,0.0,0.0039447731755424,0.0,0.2504930966469428,0.009861932938856,0.0,0.1163708086785009,0.0019723865877712,0.2938856015779093,0.0177514792899408,0.4102564102564102,0.0907297830374753,0.4990138067061144,여,2,125,43,0,New Jersey,0
USER_0035,150.28071555555556,6.25,0.0,0.0,0.0577777777777777,0.0044444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,0.1688888888888889,0.0,0.7466666666666667,0.0,0.76,0.12,0.12,여,17,36,43,0,New York,3
USER_0036,85.8171851851852,11.185185185185183,0.1158940397350993,0.0,0.0066225165562913,0.1788079470198675,0.0,0.1125827814569536,0.0,0.0,0.0,0.1721854304635761,0.009933774834437,0.0,0.0298013245033112,0.0,0.3741721854304636,0.0,0.347682119205298,0.1589403973509933,0.4933774834437086,남,14,27,47,0,Chicago,1
USER_0037,95.886075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,여,10,2,48,1,California,1
USER_0038,21.92389365853659,1.2195121951219512,0.0,0.0,0.48,0.0,0.0,0.1,0.0,0.02,0.0,0.06,0.0,0.0,0.14,0.04,0.1,0.06,0.52,0.08,0.4,남,22,41,31,1,California,0
USER_0039,144.55782391304348,16.456521739130434,0.0,0.0,0.0462351387054161,0.0092470277410832,0.0,0.0171730515191545,0.0,0.618229854689564,0.0,0.1347424042272126,0.0,0.0,0.0171730515191545,0.0211360634081902,0.1360634081902245,0.0,0.1981505944517833,0.0739762219286657,0.7278731836195509,여,49,46,30,0,California,1
USER_0040,57.86357285714286,1.9285714285714288,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.037037037037037,0.0,0.0,0.037037037037037,0.0,0.0,0.2962962962962963,0.0,0.2962962962962963,0.0,0.8518518518518519,0.074074074074074,0.074074074074074,여,39,14,28,1,New York,3
USER_0041,34.73572168421053,4.505263157894737,0.0,0.0,0.0817757009345794,0.0350467289719626,0.0257009345794392,0.1401869158878504,0.0023364485981308,0.0,0.0046728971962616,0.0420560747663551,0.0,0.0,0.0443925233644859,0.1285046728971962,0.4953271028037383,0.0,0.5397196261682243,0.1051401869158878,0.3551401869158878,남,44,95,31,1,California,0
USER_0042,32.843233846153844,3.5384615384615383,0.0,0.0,0.5,0.3478260869565217,0.0,0.0217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.0217391304347826,0.0652173913043478,0.0,0.8043478260869565,0.108695652173913,0.0869565217391304,남,2,13,30,1,California,3
USER_0043,44.605397209302325,1.4186046511627908,0.0,0.0,0.3442622950819672,0.0491803278688524,0.0,0.0655737704918032,0.0,0.0163934426229508,0.0491803278688524,0.081967213114754,0.0163934426229508,0.0,0.3278688524590163,0.0163934426229508,0.0327868852459016,0.0,0.4098360655737705,0.180327868852459,0.4098360655737705,여,26,43,34,1,New York,0
USER_0044,46.21349,1.2857142857142858,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,여,28,7,28,0,California,1
USER_0045,5.15452,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,여,46,5,32,1,Washington DC,1
USER_0046,45.17579825,3.7875,0.0,0.0,0.1023102310231023,0.0478547854785478,0.0016501650165016,0.1567656765676567,0.0,0.0082508250825082,0.0363036303630363,0.3514851485148514,0.0,0.0016501650165016,0.094059405940594,0.0462046204620462,0.1534653465346534,0.0,0.5841584158415841,0.1798679867986798,0.2359735973597359,남,8,160,46,0,Chicago,0
USER_0047,125.23383516129032,3.774193548387097,0.0,0.0,0.0598290598290598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.2051282051282051,0.0,0.6495726495726496,0.0085470085470085,0.7264957264957265,0.0769230769230769,0.1965811965811965,여,23,31,50,1,California,3
USER_0048,4.3985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,여,36,1,29,1,Chicago,3
USER_0049,30.005598620689657,7.448275862068965,0.0,0.0,0.0555555555555555,0.0092592592592592,0.0,0.412037037037037,0.0,0.0138888888888888,0.0,0.1157407407407407,0.0092592592592592,0.0,0.0138888888888888,0.0,0.3703703703703703,0.0,0.7777777777777778,0.0231481481481481,0.199074074074074,여,25,29,37,1,California,3
USER_0050,60.46923625000001,5.9375,0.0,0.0,0.9789473684210528,0.0,0.0,0.0,0.0,0.0105263157894736,0.0,0.0,0.0,0.0,0.0105263157894736,0.0,0.0,0.0,0.8631578947368421,0.0631578947368421,0.0736842105263157,여,28,16,27,1,New York,3
USER_0051,42.22689142857144,4.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0714285714285714,0.75,0.0714285714285714,0.0,0.0,0.1071428571428571,0.8928571428571429,여,35,7,33,1,Chicago,1
USER_0052,21.046815,1.4375,0.0,0.0,0.5217391304347826,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0869565217391304,0.0,0.0,0.1739130434782608,0.1304347826086956,0.0,0.0,0.3478260869565217,0.0869565217391304,0.5652173913043478,여,20,16,32,1,Washington DC,1
USER_0053,121.06038,42.4,0.0047169811320754,0.0,0.0047169811320754,0.1415094339622641,0.0,0.0,0.0,0.0,0.0,0.8490566037735849,0.0,0.0,0.0,0.0,0.0,0.0,0.7594339622641509,0.0047169811320754,0.2358490566037736,여,25,10,37,1,Chicago,2
USER_0054,112.5198,3.096774193548387,0.0,0.0,0.0104166666666666,0.0104166666666666,0.0,0.0520833333333333,0.0,0.0,0.0,0.0,0.0520833333333333,0.0,0.3020833333333333,0.0,0.5729166666666666,0.0,0.34375,0.09375,0.5625,여,43,31,47,1,New York,1
USER_0055,69.83273846153847,6.615384615384615,0.0,0.0,0.0232558139534883,0.0116279069767441,0.0,0.1976744186046511,0.0,0.0,0.0,0.0116279069767441,0.0,0.0,0.0581395348837209,0.0930232558139534,0.6046511627906976,0.0,0.3488372093023256,0.6046511627906976,0.0465116279069767,남,29,13,30,1,California,0
USER_0056,80.14926181818183,2.598930481283422,0.0,0.0,0.1172839506172839,0.0246913580246913,0.0020576131687242,0.0925925925925925,0.0,0.0020576131687242,0.0411522633744856,0.0781893004115226,0.0493827160493827,0.0,0.1995884773662551,0.0,0.3868312757201646,0.0061728395061728,0.5082304526748971,0.1296296296296296,0.3621399176954732,남,13,187,44,0,Chicago,0
USER_0057,47.313058125000005,4.84375,0.0,0.0,0.0870967741935483,0.1967741935483871,0.0,0.1354838709677419,0.0,0.0032258064516129,0.0,0.1161290322580645,0.0129032258064516,0.0,0.0580645161290322,0.0193548387096774,0.3709677419354839,0.0,0.6580645161290323,0.1387096774193548,0.2032258064516129,여,25,64,49,0,Chicago,3
USER_0058,121.32812,1.7,0.0,0.0,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.1764705882352941,0.5294117647058824,0.0,0.0,0.0,0.4705882352941176,0.1764705882352941,0.3529411764705882,남,41,10,25,1,Chicago,0
USER_0059,26.16938461538461,2.333333333333333,0.0,0.0,0.1428571428571428,0.0109890109890109,0.0109890109890109,0.0439560439560439,0.0219780219780219,0.0,0.0549450549450549,0.2417582417582417,0.0329670329670329,0.0,0.0329670329670329,0.0329670329670329,0.3736263736263736,0.0,0.3846153846153846,0.2417582417582417,0.3736263736263736,여,8,39,42,0,Chicago,0
USER_0060,16.954684444444446,1.1111111111111112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.6,남,50,9,32,0,New York,1
USER_0061,102.2964,6.181818181818182,0.0,0.0,0.0,0.0,0.0,0.1102941176470588,0.0,0.0,0.0,0.3088235294117647,0.0147058823529411,0.0,0.125,0.0,0.4411764705882353,0.0,0.4044117647058823,0.0294117647058823,0.5661764705882353,여,25,22,49,0,California,1
USER_0062,62.41818246575343,3.554794520547945,0.001926782273603,0.0,0.1425818882466281,0.0057803468208092,0.0,0.0693641618497109,0.0,0.0057803468208092,0.0,0.048169556840077,0.0269749518304431,0.0,0.1098265895953757,0.0,0.5876685934489403,0.001926782273603,0.4142581888246628,0.3545279383429672,0.2312138728323699,여,23,146,50,0,Washington DC,0
USER_0063,94.74556363636364,17.272727272727273,0.2631578947368421,0.0,0.0789473684210526,0.0,0.0,0.1052631578947368,0.0,0.0,0.0,0.0,0.0052631578947368,0.0,0.0210526315789473,0.0,0.4736842105263157,0.0526315789473684,0.4736842105263157,0.0,0.5263157894736842,여,48,11,45,1,California,1
USER_0064,64.26367850746269,14.567164179104475,0.0,0.0010245901639344,0.0327868852459016,0.1157786885245901,0.0,0.0317622950819672,0.0,0.0,0.0,0.0,0.0,0.0061475409836065,0.0204918032786885,0.0,0.7920081967213115,0.0,0.9129098360655736,0.0081967213114754,0.0788934426229508,여,10,67,23,1,New Jersey,3
USER_0065,55.06212421052632,1.5263157894736843,0.0,0.0,0.2672413793103448,0.0258620689655172,0.0344827586206896,0.1034482758620689,0.0,0.0,0.0,0.0172413793103448,0.043103448275862,0.0,0.3793103448275862,0.0,0.0948275862068965,0.0344827586206896,0.4310344827586206,0.1637931034482758,0.4051724137931034,여,8,76,44,0,Chicago,0
USER_0066,31.154722380952386,3.690476190476191,0.0,0.0,0.1612903225806451,0.0516129032258064,0.0,0.4967741935483871,0.0,0.0064516129032258,0.0193548387096774,0.0064516129032258,0.0,0.0,0.064516129032258,0.1677419354838709,0.0258064516129032,0.0,0.3741935483870968,0.2193548387096774,0.4064516129032258,남,33,42,30,0,Chicago,0
USER_0067,36.42517555555556,2.9027777777777777,0.0,0.0,0.1578947368421052,0.2966507177033493,0.0095693779904306,0.2488038277511961,0.0,0.0239234449760765,0.0,0.0334928229665071,0.0,0.0,0.0909090909090909,0.0861244019138756,0.0526315789473684,0.0,0.4497607655502392,0.0813397129186602,0.4688995215311005,여,4,72,29,0,New Jersey,0
USER_0068,10.2418,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,남,3,1,9,1,California,0
USER_0069,139.65862153846157,6.076923076923077,0.0,0.0,0.2784810126582278,0.0126582278481012,0.0,0.2531645569620253,0.0,0.0,0.0,0.0,0.0696202531645569,0.0,0.050632911392405,0.0,0.3354430379746835,0.0,0.8481012658227848,0.0379746835443038,0.1139240506329113,여,25,26,43,1,California,3
USER_0070,45.690108333333335,10.916666666666666,0.0,0.0,0.0305343511450381,0.0,0.0076335877862595,0.0,0.0,0.0,0.0,0.0381679389312977,0.0076335877862595,0.0,0.0,0.0,0.916030534351145,0.0,0.0610687022900763,0.015267175572519,0.9236641221374046,여,13,12,39,1,California,1
USER_0071,35.71100333333334,1.0666666666666669,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.1875,0.0,0.125,0.0,0.3125,0.0625,0.625,남,39,15,50,0,New York,1
USER_0072,45.47119555555556,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.5555555555555556,여,10,9,32,1,California,1
USER_0073,79.31193333333334,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,여,37,3,15,1,New York,3
USER_0074,12.7405625,1.1875,0.0,0.0,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.1578947368421052,0.0,0.4210526315789473,0.4210526315789473,0.1578947368421052,여,3,16,43,1,Chicago,0
USER_0075,51.13028181818181,3.5454545454545454,0.0,0.0,0.3076923076923077,0.0769230769230769,0.017094017094017,0.1025641025641025,0.0,0.0,0.017094017094017,0.0,0.0,0.0,0.0683760683760683,0.0,0.4102564102564102,0.0,0.6324786324786325,0.0256410256410256,0.3418803418803419,남,44,33,25,0,California,0
USER_0076,80.09962689655173,3.206896551724138,0.0,0.0,0.075268817204301,0.0,0.0,0.489247311827957,0.0,0.0,0.0,0.0806451612903225,0.043010752688172,0.0,0.1881720430107527,0.0,0.1182795698924731,0.0053763440860215,0.2634408602150537,0.075268817204301,0.6612903225806451,남,26,58,50,0,New Jersey,1
USER_0077,54.386487611940304,8.686567164179104,0.0,0.0,0.0446735395189003,0.0240549828178694,0.0017182130584192,0.3865979381443299,0.0,0.0034364261168384,0.0,0.1890034364261168,0.0103092783505154,0.0,0.0257731958762886,0.0360824742268041,0.2783505154639175,0.0,0.5945017182130584,0.2250859106529209,0.1804123711340206,여,30,67,48,0,California,0
USER_0078,43.53745706666667,1.6666666666666667,0.008,0.0,0.328,0.04,0.024,0.224,0.0,0.0,0.0,0.024,0.08,0.0,0.168,0.0,0.096,0.008,0.488,0.176,0.336,여,13,75,44,0,California,0
USER_0079,16.3959,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,남,48,2,33,1,New York,0
USER_0080,123.11808625,4.8125,0.0,0.0,0.0649350649350649,0.0129870129870129,0.0,0.0129870129870129,0.0,0.0129870129870129,0.0,0.0,0.0519480519480519,0.0,0.1948051948051948,0.0,0.6493506493506493,0.0,0.2597402597402597,0.0779220779220779,0.6623376623376623,여,50,16,45,1,New Jersey,1
USER_0081,55.66668942307692,4.134615384615385,0.0,0.0046511627906976,0.0372093023255813,0.0046511627906976,0.0,0.1488372093023255,0.0,0.0372093023255813,0.0,0.0651162790697674,0.0,0.0046511627906976,0.1116279069767441,0.0,0.586046511627907,0.0,0.5441860465116279,0.0790697674418604,0.3767441860465116,남,28,52,25,0,New York,0
USER_0082,-0.1549900000000001,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,남,33,2,15,1,Chicago,0
USER_0083,212.32216444444444,28.33333333333333,0.0,0.0,0.0156862745098039,0.1372549019607843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0392156862745098,0.788235294117647,0.0,0.8313725490196079,0.0039215686274509,0.1647058823529411,남,44,9,31,1,New York,2
USER_0084,37.628223137254906,3.313725490196078,0.0,0.0,0.1893491124260355,0.0059171597633136,0.0118343195266272,0.1597633136094674,0.0,0.0,0.0,0.0118343195266272,0.0118343195266272,0.0,0.0828402366863905,0.029585798816568,0.4852071005917159,0.0118343195266272,0.2899408284023668,0.5443786982248521,0.165680473372781,남,21,51,39,0,New York,0
USER_0085,64.66020484848485,4.393939393939394,0.0,0.0,0.1172413793103448,0.0,0.0,0.0482758620689655,0.0,0.0068965517241379,0.0,0.0,0.0137931034482758,0.0,0.0620689655172413,0.0,0.7103448275862069,0.0413793103448275,0.7517241379310344,0.0827586206896551,0.1655172413793103,남,21,33,50,0,Chicago,3
USER_0086,127.43136,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.4,남,14,5,39,1,Chicago,0
USER_0087,6.033149999999999,4.25,0.0,0.0,0.9411764705882352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.4117647058823529,0.2352941176470588,0.3529411764705882,여,10,4,37,0,Chicago,0
USER_0088,8.31603,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,남,13,2,23,1,California,0
USER_0089,69.37005432432433,2.891891891891892,0.0373831775700934,0.0,0.1869158878504672,0.02803738317757,0.0,0.0,0.0,0.0,0.0,0.0186915887850467,0.0327102803738317,0.0,0.1355140186915887,0.0,0.5560747663551402,0.0046728971962616,0.4392523364485981,0.2710280373831775,0.2897196261682243,여,32,74,47,0,California,0
USER_0090,16.134912000000003,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.2,0.4,여,43,10,34,1,California,0
